casa,visitante,placar_casa,placar_visitante,data,hora,posse_bola_casa,posse_bola_visitante,grupo,amarelos_casa,amarelos_visitante,vermelhos_casa,vermelhos_visitante,no_passes_casa,no_passes_visitante,no_escanteios_casa,no_escanteios_visitante
QATAR,ECUADOR,0,2,20 NOV 2022,17 : 00,0.42,0.5,A,4,2,0,0,450,480,9,14
ENGLAND,IRAN,6,2,21 NOV 2022,14 : 00,0.72,0.19,B,0,2,0,0,809,224,23,8
SENEGAL,NETHERLANDS,0,2,21 NOV 2022,17 : 00,0.44,0.45,A,2,1,0,0,383,438,19,25
UNITED STATES,WALES,1,1,21 NOV 2022,20 : 00,0.51,0.39,B,4,2,0,0,569,409,31,15
ARGENTINA,SAUDI ARABIA,1,2,22 NOV 2022,11 : 00,0.64,0.24,C,0,6,0,0,610,267,29,9
DENMARK,TUNISIA,0,0,22 NOV 2022,14 : 00,0.55,0.33,D,2,1,0,0,594,387,27,13
MEXICO,POLAND,0,0,22 NOV 2022,17 : 00,0.54,0.31,C,2,1,0,0,485,322,33,10
FRANCE,AUSTRALIA,4,1,22 NOV 2022,20 : 00,0.56,0.35,D,0,3,0,0,734,466,34,9
MOROCCO,CROATIA,0,0,23 NOV 2022,11 : 00,0.32,0.57,F,1,0,0,0,360,667,10,19
GERMANY,JAPAN,1,2,23 NOV 2022,14 : 00,0.65,0.22,E,0,0,0,0,820,261,28,16
SPAIN,COSTA RICA,7,0,23 NOV 2022,17 : 00,0.74,0.17,E,0,2,0,0,1061,231,17,5
BELGIUM,CANADA,1,0,23 NOV 2022,20 : 00,0.46,0.43,F,3,2,0,0,512,448,8,19
SWITZERLAND,CAMEROON,1,0,24 NOV 2022,11 : 00,0.43,0.46,G,2,1,0,0,497,500,28,20
URUGUAY,KOREA REPUBLIC,0,0,24 NOV 2022,14 : 00,0.49,0.38,H,1,1,0,0,528,419,16,19
PORTUGAL,GHANA,3,2,24 NOV 2022,17 : 00,0.55,0.35,H,2,4,0,0,636,394,17,12
BRAZIL,SERBIA,2,0,24 NOV 2022,20 : 00,0.53,0.34,G,0,3,0,0,585,403,19,13
WALES,IRAN,0,2,25 NOV 2022,11 : 00,0.51,0.33,B,1,2,1,0,508,295,20,26
